epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.88,3.68751,4.4673,3.89815,0.1219,0.03335,0.00982,0.00253,3.458,4.3064,3.52429,0.00331973,0.00331973,0.0701224
2,331.913,3.12353,3.65256,3.17085,0.14517,0.14082,0.07683,0.02508,2.65422,3.59784,2.78884,0.00659817,0.00659817,0.0400676
3,442.425,2.49845,3.03826,2.58339,0.23543,0.16862,0.11575,0.04294,2.39341,3.52917,2.55511,0.00982162,0.00982162,0.00995767
4,558.469,2.13254,2.58481,2.18972,0.31772,0.2839,0.2321,0.09875,2.0696,2.7453,2.1968,0.0097525,0.0097525,0.0097525
5,677.062,1.93161,2.23947,1.97953,0.48909,0.3504,0.35188,0.15641,1.90638,2.42143,2.0082,0.00967,0.00967,0.00967
6,789.033,1.82247,2.05524,1.86666,0.53649,0.43911,0.44336,0.21812,1.73911,2.02099,1.85793,0.0095875,0.0095875,0.0095875
7,900.62,1.74918,1.91273,1.77659,0.59136,0.46065,0.48752,0.25045,1.70465,1.90189,1.78249,0.009505,0.009505,0.009505
8,1016.07,1.68185,1.79863,1.71651,0.62371,0.51407,0.54671,0.28981,1.62694,1.72883,1.71967,0.0094225,0.0094225,0.0094225
9,1127.91,1.63031,1.70944,1.67655,0.62105,0.5115,0.54764,0.2977,1.60983,1.7123,1.69173,0.00934,0.00934,0.00934
10,1241.44,1.59209,1.63346,1.63059,0.67401,0.52822,0.59213,0.33416,1.55586,1.60807,1.63904,0.0092575,0.0092575,0.0092575
11,1374.14,1.56314,1.57968,1.60871,0.65176,0.54148,0.58933,0.3301,1.54705,1.6334,1.62042,0.009175,0.009175,0.009175
12,1492.27,1.53335,1.52224,1.58099,0.73288,0.57643,0.64705,0.37692,1.48031,1.47245,1.56154,0.0090925,0.0090925,0.0090925
13,1612.85,1.51489,1.4844,1.55634,0.69925,0.57605,0.63777,0.37116,1.46861,1.48141,1.54355,0.00901,0.00901,0.00901
14,1732.58,1.48877,1.43796,1.5347,0.70842,0.58084,0.65459,0.38978,1.4412,1.42278,1.53135,0.0089275,0.0089275,0.0089275
15,1853.28,1.46256,1.40051,1.5185,0.71724,0.60581,0.66858,0.39864,1.42667,1.40614,1.4952,0.008845,0.008845,0.008845
16,1971.73,1.45218,1.37356,1.50937,0.74801,0.6111,0.68911,0.42079,1.38385,1.33555,1.47378,0.0087625,0.0087625,0.0087625
17,2089.83,1.42701,1.34159,1.4888,0.71717,0.62521,0.68088,0.41444,1.39294,1.32091,1.48005,0.00868,0.00868,0.00868
18,2207.43,1.41072,1.30775,1.46932,0.74221,0.62963,0.69852,0.42985,1.36502,1.28998,1.44571,0.0085975,0.0085975,0.0085975
19,2327.26,1.39722,1.28907,1.46557,0.76493,0.64068,0.7164,0.4472,1.33941,1.23302,1.4322,0.008515,0.008515,0.008515
20,2439.06,1.37743,1.25612,1.44554,0.74784,0.6596,0.71856,0.45192,1.32066,1.21706,1.41661,0.0084325,0.0084325,0.0084325
21,2548.23,1.36409,1.24503,1.43862,0.75793,0.65489,0.72282,0.45205,1.33228,1.21543,1.42132,0.00835,0.00835,0.00835
22,2660.79,1.364,1.22913,1.42997,0.75905,0.65595,0.72572,0.45863,1.30924,1.19442,1.40258,0.0082675,0.0082675,0.0082675
23,2786.98,1.35539,1.20035,1.41675,0.76691,0.65895,0.73202,0.46837,1.30988,1.16628,1.39456,0.008185,0.008185,0.008185
24,2907.91,1.33882,1.18755,1.40663,0.77803,0.67488,0.74468,0.47714,1.29882,1.1516,1.38519,0.0081025,0.0081025,0.0081025
25,3018.11,1.33486,1.16866,1.39939,0.77067,0.6634,0.73706,0.47125,1.29112,1.15424,1.37679,0.00802,0.00802,0.00802
26,3128.01,1.31811,1.16145,1.39265,0.76669,0.67289,0.74197,0.47984,1.27366,1.14155,1.36857,0.0079375,0.0079375,0.0079375
27,3238.11,1.31217,1.13506,1.38438,0.79235,0.68183,0.75498,0.49141,1.25877,1.10266,1.358,0.007855,0.007855,0.007855
28,3350.73,1.29909,1.1272,1.37045,0.80017,0.6667,0.75308,0.48793,1.26303,1.11415,1.36006,0.0077725,0.0077725,0.0077725
29,3467.25,1.2922,1.11874,1.37224,0.78752,0.68896,0.7633,0.4998,1.24839,1.07729,1.34181,0.00769,0.00769,0.00769
30,3577.1,1.283,1.0958,1.36292,0.79309,0.68637,0.76498,0.5016,1.24469,1.06566,1.34322,0.0076075,0.0076075,0.0076075
31,3686.44,1.27628,1.08607,1.35448,0.78576,0.69211,0.76575,0.50519,1.23463,1.04161,1.33259,0.007525,0.007525,0.007525
32,3796.55,1.26445,1.07064,1.34976,0.79627,0.6984,0.77296,0.50829,1.22915,1.03367,1.32624,0.0074425,0.0074425,0.0074425
33,3906.94,1.26061,1.05523,1.33766,0.79529,0.7089,0.77832,0.51615,1.21779,1.01339,1.31686,0.00736,0.00736,0.00736
34,4041.31,1.25398,1.04821,1.3367,0.80045,0.70869,0.77728,0.51471,1.21961,1.02624,1.3164,0.0072775,0.0072775,0.0072775
35,4153.4,1.25192,1.04824,1.33477,0.78251,0.71409,0.77884,0.51907,1.21571,1.02922,1.31001,0.007195,0.007195,0.007195
36,4261.96,1.23614,1.02663,1.32073,0.79261,0.71618,0.78595,0.52727,1.20473,0.98432,1.30594,0.0071125,0.0071125,0.0071125
37,4371.14,1.23953,1.02179,1.32531,0.80427,0.71996,0.78478,0.52749,1.19743,0.99372,1.29813,0.00703,0.00703,0.00703
38,4480.91,1.23242,1.0077,1.31217,0.79692,0.72391,0.78682,0.52898,1.19415,0.98003,1.29049,0.0069475,0.0069475,0.0069475
