epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.567,3.71076,4.57233,4.00115,0.00385,0.07968,0.00445,0.0012,3.52742,4.38127,3.64367,0.00330623,0.00330623,0.0702439
2,194.193,3.2891,3.64776,3.28124,0.24618,0.1039,0.03436,0.0106,2.96079,9.80209,3.24351,0.00658479,0.00658479,0.0401891
3,262.688,2.51732,2.96419,2.58641,0.21615,0.11511,0.06626,0.02582,2.5914,5.80411,2.75149,0.00980835,0.00980835,0.0100793
4,330.223,2.0908,2.47182,2.15607,0.33941,0.24189,0.21384,0.08856,2.06303,2.83952,2.18037,0.0097525,0.0097525,0.0097525
5,397.487,1.8751,2.13164,1.92945,0.44483,0.33235,0.32246,0.14842,1.89446,2.42828,2.00572,0.00967,0.00967,0.00967
6,464.456,1.77465,1.94702,1.81929,0.48212,0.35164,0.36024,0.17213,1.87002,2.34453,1.96084,0.0095875,0.0095875,0.0095875
7,531.541,1.69898,1.80886,1.74046,0.58036,0.47096,0.50354,0.25974,1.70709,1.86764,1.76842,0.009505,0.009505,0.009505
8,598.704,1.64632,1.71802,1.6854,0.63606,0.47868,0.52514,0.28065,1.61741,1.78649,1.71889,0.0094225,0.0094225,0.0094225
9,665.581,1.59194,1.61961,1.64746,0.63788,0.50907,0.56169,0.30921,1.59797,1.72403,1.6695,0.00934,0.00934,0.00934
10,732.736,1.5595,1.55938,1.60154,0.66663,0.53434,0.59855,0.33144,1.56469,1.66424,1.6497,0.0092575,0.0092575,0.0092575
11,799.791,1.52834,1.51526,1.5882,0.70264,0.54751,0.61743,0.35106,1.51684,1.58739,1.59556,0.009175,0.009175,0.009175
12,866.621,1.51045,1.45648,1.56102,0.71049,0.59055,0.6499,0.37884,1.47484,1.46781,1.55593,0.0090925,0.0090925,0.0090925
13,933.541,1.489,1.42419,1.54758,0.72131,0.58998,0.66103,0.39294,1.45837,1.42505,1.55007,0.00901,0.00901,0.00901
14,1000.39,1.46124,1.38692,1.51752,0.72337,0.60873,0.67586,0.40214,1.43783,1.3859,1.52823,0.0089275,0.0089275,0.0089275
