epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.536,3.71907,4.5636,3.90324,0.06829,0.02962,0.03517,0.00725,3.57827,4.45466,3.53107,0.00330623,0.00330623,0.0702439
2,195.96,3.34984,3.83334,3.26848,0.1943,0.09494,0.04007,0.01225,2.93758,10.6416,3.03927,0.00658479,0.00658479,0.0401891
3,251.022,2.62124,3.20069,2.63709,0.32004,0.12208,0.05646,0.01975,2.6437,5.63986,2.73599,0.00980835,0.00980835,0.0100793
4,305.67,2.18939,2.68851,2.21281,0.31766,0.28251,0.22088,0.08764,2.06855,2.82423,2.14777,0.0097525,0.0097525,0.0097525
5,362.416,1.97142,2.32975,1.9837,0.45237,0.2966,0.2822,0.12227,1.96266,2.70858,2.03023,0.00967,0.00967,0.00967
6,418.527,1.86417,2.13138,1.86782,0.4342,0.35789,0.34503,0.16584,1.84169,2.29093,1.90455,0.0095875,0.0095875,0.0095875
7,473.54,1.78553,1.97969,1.77908,0.59366,0.44483,0.48264,0.23622,1.76651,2.02413,1.78889,0.009505,0.009505,0.009505
8,529.046,1.73105,1.87253,1.71738,0.61187,0.46382,0.50631,0.26274,1.69287,1.92046,1.74594,0.0094225,0.0094225,0.0094225
9,584.86,1.66968,1.76499,1.6717,0.63238,0.49909,0.54622,0.29077,1.64011,1.81653,1.67871,0.00934,0.00934,0.00934
10,640.168,1.63758,1.6935,1.6251,0.66172,0.51149,0.56998,0.31096,1.606,1.73043,1.63249,0.0092575,0.0092575,0.0092575
11,695.456,1.60174,1.64522,1.60545,0.66722,0.54433,0.59759,0.33654,1.55128,1.6447,1.58725,0.009175,0.009175,0.009175
12,751.195,1.57909,1.57735,1.57514,0.69082,0.55341,0.61911,0.35468,1.52243,1.62653,1.55897,0.0090925,0.0090925,0.0090925
13,806.41,1.55396,1.53612,1.55886,0.71338,0.56878,0.64147,0.37369,1.51113,1.49293,1.54631,0.00901,0.00901,0.00901
14,861.942,1.53239,1.49693,1.53206,0.7137,0.5765,0.64451,0.37715,1.49785,1.49637,1.54111,0.0089275,0.0089275,0.0089275
15,919.172,1.50821,1.45052,1.51332,0.71162,0.58358,0.65055,0.38293,1.46872,1.47261,1.50279,0.008845,0.008845,0.008845
16,976.439,1.49477,1.42565,1.50475,0.71336,0.58972,0.65812,0.38931,1.46426,1.41837,1.49532,0.0087625,0.0087625,0.0087625
17,1035.85,1.46804,1.38722,1.4824,0.72032,0.57655,0.65034,0.3795,1.48437,1.45407,1.53024,0.00868,0.00868,0.00868
18,1091.85,1.45641,1.35867,1.47461,0.70974,0.61254,0.6617,0.40224,1.42156,1.35497,1.45972,0.0085975,0.0085975,0.0085975
19,1148.03,1.44088,1.34445,1.46965,0.72682,0.61951,0.6742,0.40777,1.41899,1.3576,1.45594,0.008515,0.008515,0.008515
20,1204.43,1.43341,1.32576,1.4567,0.74599,0.61411,0.69371,0.42762,1.39715,1.30258,1.43209,0.0084325,0.0084325,0.0084325
21,1262.12,1.41127,1.29355,1.43267,0.75161,0.6207,0.69993,0.43292,1.37581,1.30123,1.41919,0.00835,0.00835,0.00835
22,1318.91,1.40057,1.27019,1.42792,0.74043,0.62648,0.6994,0.43561,1.36165,1.2904,1.40838,0.0082675,0.0082675,0.0082675
23,1375.62,1.39189,1.26297,1.41604,0.74994,0.64085,0.71452,0.45008,1.34642,1.22359,1.39583,0.008185,0.008185,0.008185
24,1433.28,1.38829,1.23728,1.40937,0.74046,0.63867,0.70216,0.43982,1.35145,1.24551,1.38966,0.0081025,0.0081025,0.0081025
25,1490.07,1.37572,1.22526,1.39903,0.75044,0.65293,0.71954,0.452,1.34438,1.21756,1.39055,0.00802,0.00802,0.00802
26,1546.42,1.36046,1.19814,1.38907,0.76896,0.65554,0.72962,0.46561,1.32838,1.18271,1.37529,0.0079375,0.0079375,0.0079375
27,1603.82,1.35524,1.18114,1.37883,0.77346,0.6573,0.73308,0.47217,1.30791,1.17269,1.35638,0.007855,0.007855,0.007855
28,1663.06,1.3432,1.16811,1.36851,0.75787,0.66103,0.73004,0.46152,1.31987,1.20465,1.36114,0.0077725,0.0077725,0.0077725
29,1718.21,1.33879,1.15371,1.36586,0.7662,0.66406,0.73662,0.46783,1.32271,1.17684,1.35619,0.00769,0.00769,0.00769
30,1771.96,1.32634,1.14274,1.36232,0.78918,0.66053,0.73758,0.47681,1.2979,1.1559,1.34164,0.0076075,0.0076075,0.0076075
31,1828.61,1.31451,1.13841,1.35183,0.77699,0.68015,0.74978,0.48672,1.28373,1.10747,1.33231,0.007525,0.007525,0.007525
32,1882.36,1.31066,1.1123,1.34124,0.78791,0.67439,0.74689,0.48728,1.28316,1.12482,1.3285,0.0074425,0.0074425,0.0074425
33,1938.34,1.30645,1.1115,1.34144,0.77211,0.68783,0.75246,0.49387,1.26399,1.10579,1.31793,0.00736,0.00736,0.00736
34,1992.75,1.29874,1.09481,1.33211,0.79765,0.68419,0.75498,0.49377,1.26189,1.10788,1.31565,0.0072775,0.0072775,0.0072775
35,2047.66,1.29574,1.08061,1.3306,0.78206,0.68829,0.75973,0.49924,1.25767,1.0706,1.31115,0.007195,0.007195,0.007195
36,2103.51,1.27959,1.06496,1.32045,0.79312,0.69005,0.76671,0.50498,1.25618,1.05566,1.30601,0.0071125,0.0071125,0.0071125
37,2157.76,1.27645,1.06115,1.31364,0.78833,0.68056,0.76209,0.50671,1.24076,1.06332,1.29303,0.00703,0.00703,0.00703
38,2212.52,1.27356,1.05748,1.31022,0.79801,0.6946,0.77016,0.5101,1.24122,1.04199,1.29807,0.0069475,0.0069475,0.0069475
39,2268.11,1.25796,1.04263,1.30384,0.79517,0.69147,0.77275,0.51156,1.2399,1.0333,1.29341,0.006865,0.006865,0.006865
40,2323.75,1.25791,1.03256,1.30077,0.79674,0.69827,0.76936,0.51238,1.23305,1.03266,1.28692,0.0067825,0.0067825,0.0067825
41,2380.11,1.2515,1.0235,1.2929,0.81009,0.70245,0.77617,0.51838,1.22446,1.02387,1.27854,0.0067,0.0067,0.0067
42,2434.4,1.24666,1.01576,1.28514,0.8031,0.70138,0.77478,0.51805,1.22205,1.01105,1.27781,0.0066175,0.0066175,0.0066175
43,2492.92,1.24047,1.01007,1.28147,0.80949,0.70869,0.77978,0.52412,1.21555,1.01773,1.27138,0.006535,0.006535,0.006535
44,2547.06,1.22661,0.9954,1.27548,0.80553,0.70729,0.78014,0.52422,1.21551,0.99434,1.27285,0.0064525,0.0064525,0.0064525
45,2601.63,1.22945,0.98874,1.27582,0.80821,0.71181,0.7856,0.52798,1.21445,0.9921,1.27023,0.00637,0.00637,0.00637
46,2657.06,1.21689,0.97803,1.26638,0.8026,0.72159,0.78968,0.53394,1.20607,0.97762,1.264,0.0062875,0.0062875,0.0062875
