epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7386,1.55473,2.66831,1.473,0.63183,0.52977,0.55881,0.3508,1.33108,1.57979,1.26967,0.00330623,0.00330623,0.0702439
2,102.659,1.32476,1.36906,1.25859,0.62059,0.44757,0.49304,0.30383,1.43406,1.75737,1.34243,0.00658479,0.00658479,0.0401891
3,152.63,1.37621,1.37794,1.27749,0.36888,0.276,0.24428,0.1185,1.93325,2.97609,1.84254,0.00980835,0.00980835,0.0100793
4,202.944,1.45045,1.45396,1.32122,0.53588,0.42934,0.44646,0.23806,1.6355,2.20857,1.50772,0.0097525,0.0097525,0.0097525
5,254.772,1.4077,1.35799,1.29941,0.58637,0.41338,0.45013,0.25611,1.57568,2.09732,1.50588,0.00967,0.00967,0.00967
6,304.786,1.38162,1.29816,1.28407,0.67124,0.52893,0.58884,0.34472,1.452,1.56428,1.35688,0.0095875,0.0095875,0.0095875
7,354.363,1.35266,1.24477,1.26131,0.68811,0.54077,0.60974,0.35988,1.44131,1.484,1.35491,0.009505,0.009505,0.009505
8,404.243,1.32883,1.19795,1.2456,0.72404,0.60601,0.67476,0.42286,1.32619,1.30611,1.26967,0.0094225,0.0094225,0.0094225
9,454.061,1.3,1.14982,1.23688,0.71111,0.55544,0.62117,0.39089,1.3639,1.38461,1.31486,0.00934,0.00934,0.00934
10,503.5,1.29248,1.12381,1.2184,0.73607,0.63369,0.693,0.44414,1.29819,1.24536,1.24061,0.0092575,0.0092575,0.0092575
11,553.904,1.26992,1.10548,1.21409,0.7567,0.62324,0.70385,0.44981,1.28374,1.20929,1.2244,0.009175,0.009175,0.009175
12,604.13,1.25995,1.06395,1.20318,0.76913,0.66783,0.73665,0.48065,1.23895,1.13905,1.18867,0.0090925,0.0090925,0.0090925
13,655.251,1.2517,1.05437,1.20176,0.76267,0.65565,0.72591,0.47599,1.23852,1.12148,1.21403,0.00901,0.00901,0.00901
14,705.231,1.23185,1.02326,1.18493,0.75843,0.63491,0.70746,0.45728,1.30828,1.15322,1.23478,0.0089275,0.0089275,0.0089275
15,755.265,1.22243,1.00388,1.1802,0.78629,0.66796,0.7455,0.49586,1.21501,1.07989,1.18996,0.008845,0.008845,0.008845
16,804.952,1.21186,0.99412,1.17602,0.77601,0.671,0.74265,0.49547,1.19541,1.09155,1.17623,0.0087625,0.0087625,0.0087625
17,855.233,1.19482,0.96908,1.16738,0.79053,0.68664,0.76456,0.50952,1.18629,1.02056,1.1723,0.00868,0.00868,0.00868
18,904.848,1.18536,0.9511,1.16441,0.78262,0.6874,0.75763,0.50935,1.18984,1.02133,1.16312,0.0085975,0.0085975,0.0085975
19,955.224,1.17778,0.94592,1.16324,0.8031,0.70235,0.78047,0.53142,1.15378,0.98655,1.14371,0.008515,0.008515,0.008515
20,1005.69,1.17458,0.9339,1.15515,0.8074,0.69295,0.77174,0.52039,1.1784,1.00049,1.15958,0.0084325,0.0084325,0.0084325
21,1055.69,1.15943,0.91696,1.14576,0.80976,0.69828,0.77488,0.53105,1.16472,1.01636,1.15466,0.00835,0.00835,0.00835
22,1105.78,1.15518,0.90096,1.14478,0.81552,0.7092,0.79213,0.54244,1.14676,0.92792,1.14475,0.0082675,0.0082675,0.0082675
23,1156.06,1.15206,0.89954,1.14189,0.80674,0.70862,0.78221,0.53872,1.14129,0.96191,1.12488,0.008185,0.008185,0.008185
24,1206.18,1.14769,0.88551,1.13855,0.81925,0.71756,0.79709,0.54837,1.15415,0.89701,1.13889,0.0081025,0.0081025,0.0081025
25,1256.49,1.1429,0.87724,1.13506,0.80161,0.72523,0.79705,0.55164,1.14356,0.90342,1.13157,0.00802,0.00802,0.00802
26,1306.63,1.12666,0.86055,1.12658,0.79213,0.72998,0.79568,0.54874,1.14072,0.92238,1.13296,0.0079375,0.0079375,0.0079375
27,1356.5,1.12874,0.85498,1.12638,0.81705,0.72623,0.80282,0.55535,1.13351,0.87978,1.13308,0.007855,0.007855,0.007855
28,1407.32,1.12266,0.84028,1.11963,0.7993,0.74314,0.80606,0.56063,1.11287,0.89594,1.11661,0.0077725,0.0077725,0.0077725
29,1458.27,1.11397,0.83204,1.11728,0.82807,0.73353,0.8098,0.56355,1.13207,0.86791,1.1304,0.00769,0.00769,0.00769
30,1508.88,1.10357,0.82508,1.11449,0.83647,0.72658,0.81146,0.5684,1.11292,0.87506,1.11784,0.0076075,0.0076075,0.0076075
31,1558.79,1.09864,0.82414,1.11201,0.83378,0.73406,0.81588,0.572,1.11071,0.83931,1.11527,0.007525,0.007525,0.007525
32,1608.06,1.09774,0.81287,1.10643,0.83633,0.73336,0.81409,0.57111,1.1062,0.8721,1.11216,0.0074425,0.0074425,0.0074425
33,1658.78,1.0918,0.80524,1.1043,0.83383,0.74089,0.81545,0.57348,1.11171,0.84905,1.1192,0.00736,0.00736,0.00736
34,1708.57,1.08879,0.79185,1.10004,0.822,0.75538,0.8172,0.57641,1.09976,0.84363,1.11154,0.0072775,0.0072775,0.0072775
35,1758.28,1.08691,0.78397,1.10011,0.83099,0.74524,0.81784,0.57992,1.09443,0.84571,1.1077,0.007195,0.007195,0.007195
36,1809,1.07428,0.77919,1.09532,0.82202,0.75649,0.82361,0.58154,1.09147,0.83042,1.1044,0.0071125,0.0071125,0.0071125
37,1859.33,1.07031,0.77424,1.09178,0.84218,0.75087,0.82404,0.58623,1.09457,0.8289,1.10994,0.00703,0.00703,0.00703
38,1908.94,1.06924,0.77127,1.09342,0.83361,0.75736,0.83109,0.59173,1.07588,0.80361,1.09904,0.0069475,0.0069475,0.0069475
39,1958.93,1.06128,0.76498,1.08895,0.82665,0.75124,0.82377,0.58602,1.08116,0.81293,1.09831,0.006865,0.006865,0.006865
40,2008.73,1.05698,0.75459,1.08923,0.82946,0.76437,0.83277,0.5936,1.07964,0.79676,1.10087,0.0067825,0.0067825,0.0067825
41,2059.67,1.04995,0.74819,1.08172,0.83207,0.76917,0.83457,0.59616,1.07181,0.79807,1.0929,0.0067,0.0067,0.0067
42,2110.12,1.04858,0.74534,1.07986,0.84346,0.76164,0.83362,0.59762,1.06599,0.79488,1.09213,0.0066175,0.0066175,0.0066175
43,2160.1,1.04016,0.73417,1.07292,0.8466,0.75245,0.82981,0.59509,1.06741,0.79239,1.09066,0.006535,0.006535,0.006535
44,2210.03,1.03362,0.72736,1.07263,0.83892,0.76084,0.8353,0.60053,1.06971,0.78325,1.09043,0.0064525,0.0064525,0.0064525
45,2259.18,1.03096,0.72253,1.07271,0.84865,0.75481,0.8331,0.59681,1.07523,0.7793,1.09465,0.00637,0.00637,0.00637
46,2309.49,1.02624,0.7163,1.06959,0.8324,0.77044,0.83235,0.59887,1.06987,0.78469,1.0905,0.0062875,0.0062875,0.0062875
47,2359.55,1.02623,0.71057,1.06525,0.83559,0.76891,0.83681,0.60726,1.04913,0.77789,1.08443,0.006205,0.006205,0.006205
48,2409.78,1.0203,0.70823,1.06863,0.83522,0.77349,0.84024,0.6072,1.05367,0.76725,1.08461,0.0061225,0.0061225,0.0061225
49,2460.18,1.0182,0.69862,1.06406,0.84387,0.77069,0.84004,0.60532,1.05949,0.76754,1.08938,0.00604,0.00604,0.00604
50,2509.62,1.0149,0.69901,1.06119,0.84601,0.7697,0.84158,0.60604,1.06113,0.75691,1.08346,0.0059575,0.0059575,0.0059575
51,2560.29,1.00316,0.68815,1.05572,0.84613,0.7759,0.84357,0.61093,1.04963,0.74999,1.08023,0.005875,0.005875,0.005875
52,2610.17,1.00748,0.68407,1.05873,0.85419,0.76938,0.84542,0.61226,1.05153,0.75524,1.08199,0.0057925,0.0057925,0.0057925
53,2663.67,1.00186,0.68243,1.05705,0.84294,0.77794,0.8457,0.61545,1.04304,0.74994,1.0815,0.00571,0.00571,0.00571
54,2713.98,0.99534,0.67746,1.05396,0.82829,0.78229,0.84218,0.6118,1.04874,0.76129,1.07973,0.0056275,0.0056275,0.0056275
55,2763.71,0.99697,0.67655,1.05378,0.84607,0.77973,0.8445,0.61345,1.04861,0.75541,1.08224,0.005545,0.005545,0.005545
56,2814.41,0.99206,0.6758,1.05237,0.84661,0.77605,0.8472,0.61667,1.04148,0.74106,1.077,0.0054625,0.0054625,0.0054625
57,2864.84,0.98327,0.66397,1.04881,0.85557,0.77072,0.84615,0.61655,1.03964,0.73585,1.07867,0.00538,0.00538,0.00538
58,2914.97,0.98384,0.65602,1.0458,0.84735,0.77993,0.84884,0.62068,1.03681,0.74113,1.07477,0.0052975,0.0052975,0.0052975
59,2964.75,0.98291,0.65462,1.04229,0.84179,0.78847,0.84991,0.61936,1.0421,0.74324,1.07616,0.005215,0.005215,0.005215
60,3014.5,0.97656,0.64965,1.04158,0.8416,0.78364,0.84797,0.62192,1.03021,0.73913,1.07262,0.0051325,0.0051325,0.0051325
61,3063.65,0.9695,0.64474,1.03964,0.84964,0.77922,0.84799,0.62082,1.04348,0.74998,1.07973,0.00505,0.00505,0.00505
62,3113.66,0.96129,0.63831,1.03772,0.85465,0.77624,0.85001,0.62288,1.03366,0.73808,1.07526,0.0049675,0.0049675,0.0049675
63,3162.67,0.96623,0.63713,1.03812,0.84785,0.7848,0.8491,0.62251,1.0325,0.73386,1.07365,0.004885,0.004885,0.004885
64,3212.76,0.96284,0.63192,1.03494,0.84182,0.78506,0.84725,0.6214,1.03197,0.73407,1.07268,0.0048025,0.0048025,0.0048025
65,3262.33,0.95256,0.62431,1.02968,0.85188,0.77958,0.84582,0.62174,1.0305,0.73722,1.07347,0.00472,0.00472,0.00472
