epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1843,1.65036,4.98331,0.01084,0.01944,0.28748,0.04523,0.02891,1.44206,5.08512,0.01308,0.00327957,0.00327957,0.0704839
2,73.8304,1.46597,3.98794,0.00925,0.56261,0.08068,0.10908,0.06588,1.60158,4.46749,0.0148,0.00655835,0.00655835,0.0404293
3,107.654,1.45792,3.04041,0.00935,0.38286,0.14835,0.14646,0.08117,1.71309,4.02836,0.01732,0.00978212,0.00978212,0.0103198
4,141.421,1.46924,2.59601,0.00923,0.52931,0.37332,0.38561,0.23595,1.44106,2.91632,0.01344,0.0097525,0.0097525,0.0097525
5,175.04,1.44477,2.28615,0.0093,0.5718,0.36729,0.39893,0.24279,1.53446,2.84259,0.01442,0.00967,0.00967,0.00967
6,208.609,1.43594,2.07707,0.00918,0.61236,0.49777,0.53872,0.33465,1.41027,2.1816,0.01302,0.0095875,0.0095875,0.0095875
7,242.394,1.42048,1.90696,0.00902,0.66541,0.49758,0.55703,0.34972,1.41469,2.12244,0.01294,0.009505,0.009505,0.009505
8,276.213,1.41858,1.79343,0.00899,0.65752,0.4897,0.54792,0.34061,1.44582,2.08139,0.01329,0.0094225,0.0094225,0.0094225
9,309.99,1.40805,1.70581,0.00901,0.64946,0.48181,0.53417,0.3292,1.47207,2.10698,0.01377,0.00934,0.00934,0.00934
10,343.802,1.4054,1.6388,0.00896,0.70442,0.54706,0.61363,0.39464,1.40586,1.77028,0.01282,0.0092575,0.0092575,0.0092575
11,377.392,1.39788,1.5702,0.00889,0.68951,0.5993,0.65207,0.42325,1.33976,1.59623,0.01204,0.009175,0.009175,0.009175
12,411.04,1.39547,1.52306,0.00884,0.67938,0.51392,0.56959,0.36018,1.46535,1.86439,0.01354,0.0090925,0.0090925,0.0090925
13,444.864,1.39481,1.48123,0.00887,0.70474,0.59948,0.65697,0.42157,1.379,1.5011,0.01246,0.00901,0.00901,0.00901
14,478.321,1.38811,1.4436,0.00874,0.72368,0.46014,0.5134,0.33127,1.48816,2.20525,0.0139,0.0089275,0.0089275,0.0089275
15,512.167,1.38847,1.40489,0.00865,0.73558,0.5826,0.66256,0.438,1.3749,1.58891,0.01245,0.008845,0.008845,0.008845
16,545.841,1.38242,1.39151,0.00872,0.7334,0.62648,0.69637,0.45904,1.31889,1.41725,0.01211,0.0087625,0.0087625,0.0087625
17,579.197,1.37517,1.34839,0.00857,0.73886,0.6197,0.68779,0.45369,1.34313,1.408,0.0119,0.00868,0.00868,0.00868
18,612.807,1.37314,1.32971,0.00854,0.71447,0.59289,0.65158,0.4234,1.40101,1.51711,0.01276,0.0085975,0.0085975,0.0085975
19,646.141,1.37772,1.30736,0.00844,0.74732,0.57629,0.65164,0.43179,1.37732,1.61004,0.0123,0.008515,0.008515,0.008515
20,679.974,1.37182,1.29215,0.00847,0.74978,0.63471,0.70863,0.46986,1.33164,1.32206,0.0119,0.0084325,0.0084325,0.0084325
21,713.572,1.36531,1.28041,0.00851,0.74413,0.61975,0.69502,0.46167,1.34944,1.38058,0.01206,0.00835,0.00835,0.00835
22,746.973,1.3667,1.2599,0.00852,0.71636,0.57431,0.63975,0.41253,1.41265,1.6071,0.01308,0.0082675,0.0082675,0.0082675
23,780.371,1.36337,1.24276,0.00845,0.76061,0.61011,0.68882,0.46349,1.32574,1.46889,0.01186,0.008185,0.008185,0.008185
24,813.844,1.35785,1.20512,0.00842,0.72457,0.58263,0.65573,0.42709,1.39239,1.55439,0.01243,0.0081025,0.0081025,0.0081025
25,847.153,1.35003,1.20045,0.00838,0.77869,0.64223,0.72415,0.47946,1.3316,1.29006,0.01203,0.00802,0.00802,0.00802
26,880.811,1.35659,1.19566,0.00834,0.75923,0.60753,0.68449,0.44454,1.40584,1.46441,0.01297,0.0079375,0.0079375,0.0079375
27,914.658,1.34648,1.17549,0.00841,0.72765,0.53097,0.60183,0.39297,1.53177,1.80846,0.01412,0.007855,0.007855,0.007855
28,948.01,1.34319,1.16242,0.00835,0.75364,0.66006,0.72578,0.48348,1.30756,1.27095,0.01167,0.0077725,0.0077725,0.0077725
29,981.734,1.34216,1.15436,0.00828,0.704,0.47251,0.54444,0.35648,1.539,2.1136,0.01456,0.00769,0.00769,0.00769
30,1015.38,1.34149,1.1381,0.00824,0.7797,0.67647,0.74549,0.49914,1.3053,1.2016,0.01165,0.0076075,0.0076075,0.0076075
31,1048.7,1.33118,1.13441,0.00824,0.75732,0.64184,0.7199,0.48005,1.3628,1.27696,0.01197,0.007525,0.007525,0.007525
32,1082.58,1.33429,1.11392,0.00818,0.7794,0.59522,0.67704,0.45467,1.37443,1.50744,0.01215,0.0074425,0.0074425,0.0074425
