epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3188,1.34137,2.29726,1.3737,0.69955,0.60218,0.6513,0.44032,1.15844,1.3163,1.20523,0.00330623,0.00330623,0.0702439
2,136.417,1.19886,1.18905,1.23108,0.65682,0.55358,0.59249,0.3926,1.25665,1.57059,1.27592,0.00658479,0.00658479,0.0401891
3,204.665,1.25992,1.20408,1.25777,0.6698,0.44765,0.49757,0.28603,1.50761,2.19692,1.48496,0.00980835,0.00980835,0.0100793
4,271.07,1.33745,1.29167,1.30544,0.60473,0.4933,0.54372,0.31956,1.44929,1.8323,1.44284,0.0097525,0.0097525,0.0097525
5,337.437,1.31273,1.22481,1.29463,0.69413,0.59814,0.63772,0.38869,1.34619,1.62315,1.33885,0.00967,0.00967,0.00967
6,402.671,1.28593,1.15921,1.2824,0.70167,0.5711,0.61965,0.38628,1.34104,1.45791,1.35169,0.0095875,0.0095875,0.0095875
7,468.448,1.26425,1.11701,1.26821,0.76676,0.63018,0.71039,0.45017,1.2763,1.21059,1.28369,0.009505,0.009505,0.009505
8,534.001,1.23769,1.07595,1.24674,0.75207,0.65153,0.71653,0.46582,1.23896,1.18284,1.2633,0.0094225,0.0094225,0.0094225
9,599.656,1.21056,1.02468,1.23606,0.77296,0.62563,0.70457,0.46855,1.22073,1.12851,1.27471,0.00934,0.00934,0.00934
10,665.174,1.20406,1.00087,1.22029,0.77791,0.66497,0.73646,0.49376,1.19388,1.09006,1.22562,0.0092575,0.0092575,0.0092575
11,730.457,1.18064,0.98079,1.21723,0.78698,0.69605,0.76935,0.52084,1.17005,0.99228,1.21231,0.009175,0.009175,0.009175
12,796.452,1.17003,0.94817,1.20546,0.77954,0.68789,0.76196,0.51895,1.16145,0.9943,1.21791,0.0090925,0.0090925,0.0090925
13,861.775,1.1617,0.92954,1.20286,0.78143,0.69505,0.76119,0.51699,1.16522,0.98713,1.22608,0.00901,0.00901,0.00901
14,926.899,1.14363,0.90892,1.1907,0.80084,0.71498,0.7877,0.54637,1.13703,0.91621,1.19494,0.0089275,0.0089275,0.0089275
15,992.055,1.13068,0.88929,1.18245,0.80235,0.72035,0.78627,0.54326,1.12314,0.94105,1.18935,0.008845,0.008845,0.008845
16,1057.29,1.12528,0.87495,1.17687,0.80242,0.71428,0.78273,0.5376,1.14095,0.94013,1.19534,0.0087625,0.0087625,0.0087625
17,1123.7,1.10745,0.8575,1.16918,0.81369,0.71835,0.79251,0.54578,1.12308,0.92156,1.18586,0.00868,0.00868,0.00868
18,1189.52,1.09838,0.83918,1.16814,0.78809,0.73453,0.78742,0.54604,1.11125,0.91572,1.18185,0.0085975,0.0085975,0.0085975
19,1254.4,1.09014,0.82992,1.16558,0.80843,0.73755,0.80514,0.55961,1.11578,0.8689,1.17812,0.008515,0.008515,0.008515
20,1319.55,1.08297,0.82238,1.15863,0.81349,0.72484,0.80173,0.56515,1.10207,0.87184,1.17828,0.0084325,0.0084325,0.0084325
21,1385.34,1.07167,0.80121,1.14693,0.82134,0.73865,0.80206,0.56559,1.08935,0.86957,1.16258,0.00835,0.00835,0.00835
22,1450.78,1.06462,0.79211,1.14915,0.84216,0.72917,0.80904,0.57069,1.0922,0.85594,1.1728,0.0082675,0.0082675,0.0082675
23,1518.4,1.05975,0.78579,1.14547,0.80884,0.73558,0.80779,0.56937,1.08925,0.8512,1.1689,0.008185,0.008185,0.008185
24,1583.66,1.05284,0.77081,1.13964,0.83337,0.74032,0.81651,0.5774,1.08321,0.84191,1.16155,0.0081025,0.0081025,0.0081025
25,1648.99,1.05219,0.76314,1.13915,0.82799,0.74244,0.81315,0.57626,1.07953,0.82641,1.16714,0.00802,0.00802,0.00802
26,1714.89,1.03137,0.746,1.12836,0.82392,0.74677,0.81922,0.5827,1.07312,0.8172,1.17179,0.0079375,0.0079375,0.0079375
27,1781.99,1.03446,0.7418,1.12666,0.82654,0.7558,0.8234,0.58653,1.07383,0.80079,1.15966,0.007855,0.007855,0.007855
28,1852.04,1.02674,0.724,1.11869,0.82166,0.76693,0.82526,0.58482,1.06694,0.8054,1.14875,0.0077725,0.0077725,0.0077725
29,1920.8,1.01989,0.72057,1.11973,0.81847,0.75741,0.82061,0.58416,1.08442,0.82383,1.16056,0.00769,0.00769,0.00769
30,1987.92,1.00649,0.71125,1.11828,0.84339,0.75219,0.82588,0.5924,1.05933,0.79554,1.16101,0.0076075,0.0076075,0.0076075
31,2052.86,1.00243,0.70699,1.11102,0.8111,0.76548,0.82397,0.59037,1.06047,0.80169,1.15009,0.007525,0.007525,0.007525
32,2119.27,1.00286,0.69885,1.10681,0.8335,0.74655,0.82472,0.59708,1.04899,0.78837,1.14536,0.0074425,0.0074425,0.0074425
33,2188.53,0.99612,0.68872,1.10296,0.83433,0.76819,0.83143,0.60043,1.04558,0.76587,1.14029,0.00736,0.00736,0.00736
34,2256.37,0.98745,0.67934,1.09429,0.83868,0.77879,0.83615,0.6043,1.05031,0.76546,1.14486,0.0072775,0.0072775,0.0072775
35,2324.38,0.98689,0.66814,1.09783,0.83449,0.76826,0.83526,0.60552,1.04611,0.76585,1.14707,0.007195,0.007195,0.007195
36,2394.14,0.97519,0.66394,1.09404,0.85242,0.76167,0.83769,0.60503,1.04591,0.75778,1.13957,0.0071125,0.0071125,0.0071125
37,2459.44,0.96917,0.65614,1.08975,0.8376,0.77548,0.83821,0.60853,1.04098,0.75717,1.14582,0.00703,0.00703,0.00703
38,2525.89,0.96707,0.65522,1.08814,0.82877,0.77632,0.83677,0.60958,1.03461,0.76326,1.13662,0.0069475,0.0069475,0.0069475
39,2593.28,0.96027,0.64333,1.08761,0.83353,0.77463,0.83713,0.60859,1.03984,0.75174,1.1406,0.006865,0.006865,0.006865
40,2661.97,0.95402,0.64127,1.08259,0.84387,0.76739,0.84023,0.61109,1.03985,0.75235,1.14081,0.0067825,0.0067825,0.0067825
41,2728.38,0.95206,0.63337,1.08006,0.85575,0.77131,0.84265,0.61651,1.03026,0.74224,1.1412,0.0067,0.0067,0.0067
42,2794.13,0.94738,0.62835,1.07107,0.84702,0.77257,0.84087,0.61633,1.0276,0.75403,1.13136,0.0066175,0.0066175,0.0066175
43,2859.58,0.93932,0.62192,1.07153,0.84514,0.7782,0.84225,0.61778,1.02644,0.75209,1.14253,0.006535,0.006535,0.006535
44,2925.3,0.92999,0.61128,1.06838,0.84608,0.77899,0.84355,0.6162,1.03415,0.74688,1.13373,0.0064525,0.0064525,0.0064525
45,2990.24,0.92951,0.60925,1.06624,0.85352,0.78082,0.84772,0.62258,1.02259,0.71864,1.13801,0.00637,0.00637,0.00637
46,3056.33,0.92372,0.60231,1.06162,0.85835,0.77125,0.83869,0.61809,1.0268,0.76011,1.13639,0.0062875,0.0062875,0.0062875
47,3121.47,0.92527,0.59655,1.05994,0.84499,0.78168,0.84121,0.61933,1.0236,0.74824,1.13307,0.006205,0.006205,0.006205
48,3187.55,0.91556,0.5924,1.05797,0.84687,0.78967,0.84689,0.62523,1.01959,0.72647,1.12568,0.0061225,0.0061225,0.0061225
49,3252.61,0.91414,0.58505,1.05513,0.84802,0.78858,0.84388,0.62188,1.02178,0.73944,1.12862,0.00604,0.00604,0.00604
50,3318.22,0.90924,0.58168,1.05197,0.84632,0.7867,0.84939,0.62626,1.01956,0.73174,1.12783,0.0059575,0.0059575,0.0059575
51,3383.44,0.89775,0.57372,1.04998,0.8377,0.79126,0.84845,0.62464,1.02551,0.72664,1.13336,0.005875,0.005875,0.005875
52,3448.47,0.89903,0.5726,1.04944,0.84918,0.78496,0.84721,0.62456,1.01522,0.72989,1.13068,0.0057925,0.0057925,0.0057925
53,3513.12,0.89405,0.56329,1.04734,0.85796,0.78581,0.8503,0.62709,1.01812,0.72497,1.13294,0.00571,0.00571,0.00571
