                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8023,                 5.0093,                 4.2162,                0.00233,                0.02911,                0.00128,                0.00044,                 3.7833,                 20.426,                 4.7963,               0.070024,              0.0033306,              0.0033306
                      2,                 3.5566,                 4.4606,                 3.4293,                  0.013,                0.03032,                0.00483,                0.00135,                 3.4023,                  4.387,                 3.1589,               0.039981,                0.00662,                0.00662
                      3,                 3.0488,                 4.1539,                 2.8531,                0.00295,                0.22422,                0.00815,                0.00238,                 2.8592,                 4.2295,                 2.7532,              0.0098925,              0.0098653,              0.0098653
                      4,                 2.6193,                 3.8804,                 2.5086,                0.33721,                0.04845,                0.02563,                0.00867,                 2.5192,                 4.0486,                 2.4164,               0.009802,               0.009802,               0.009802
                      5,                 2.3983,                 3.6786,                 2.3214,                0.23526,                0.06032,                0.03252,                0.01216,                 2.3404,                 3.9084,                 2.2412,               0.009736,               0.009736,               0.009736
                      6,                 2.2947,                 3.5541,                 2.2181,                0.26483,                0.05917,                0.05545,                 0.0202,                 2.3069,                 3.8892,                 2.1888,                0.00967,                0.00967,                0.00967
                      7,                 2.2292,                 3.4593,                 2.1468,                0.17002,                0.06396,                0.04493,                  0.018,                  2.217,                 3.7982,                 2.1229,               0.009604,               0.009604,               0.009604
                      8,                 2.1797,                 3.3959,                 2.1049,                0.28896,                0.08448,                0.08999,                0.04162,                 2.1633,                 3.6953,                 2.0664,               0.009538,               0.009538,               0.009538
                      9,                 2.1272,                 3.3299,                 2.0423,                0.40843,                0.09694,                0.09425,                0.04409,                 2.1497,                 3.5932,                 2.0254,               0.009472,               0.009472,               0.009472
                     10,                 2.1002,                 3.2762,                 2.0175,                0.39839,                0.11148,                0.08182,                0.03746,                 2.1049,                 3.5404,                 1.9787,               0.009406,               0.009406,               0.009406
                     11,                  2.071,                 3.2215,                 1.9789,                 0.5252,                0.12286,                0.07932,                0.03791,                 2.0764,                  3.501,                 1.9622,                0.00934,                0.00934,                0.00934
                     12,                 2.0402,                 3.1985,                  1.951,                0.53573,                0.12928,                0.09451,                0.04545,                 2.0701,                 3.4449,                  1.949,               0.009274,               0.009274,               0.009274
                     13,                 2.0189,                 3.1409,                  1.929,                0.53693,                0.13902,                0.10229,                0.05059,                  1.996,                 3.3608,                 1.8769,               0.009208,               0.009208,               0.009208
                     14,                 1.9838,                 3.0766,                 1.8951,                0.54614,                 0.1427,                0.09678,                0.04727,                 1.9699,                 3.3862,                 1.8437,               0.009142,               0.009142,               0.009142
                     15,                 1.9464,                  3.024,                  1.864,                0.54414,                0.15253,                0.11212,                0.05638,                 1.9256,                 3.2724,                 1.8135,               0.009076,               0.009076,               0.009076
                     16,                 1.9354,                 2.9816,                 1.8526,                 0.5518,                0.16166,                0.10794,                 0.0545,                 1.9184,                 3.2623,                 1.8118,                0.00901,                0.00901,                0.00901
                     17,                  1.899,                 2.9477,                 1.8234,                0.56248,                0.16487,                0.12227,                0.06432,                 1.8701,                 3.1951,                 1.7753,               0.008944,               0.008944,               0.008944
                     18,                 1.8788,                 2.8807,                 1.8076,                0.57092,                0.17984,                0.12925,                0.06737,                 1.8592,                 3.1362,                 1.7509,               0.008878,               0.008878,               0.008878
