epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8176,3.74381,4.52627,3.96439,0.00609,0.12187,0.00559,0.00149,3.52632,3.85735,3.56151,0.0701948,0.00331169,0.00331169
2,92.0154,3.26009,3.72446,3.20473,0.01566,0.16605,0.01368,0.00479,3.39383,23.7663,3.53032,0.0401729,0.00662309,0.00662309
3,120.933,2.42906,2.96542,2.50322,0.29211,0.23342,0.16873,0.066,2.23041,3.18177,2.44068,0.0101289,0.0099125,0.0099125
4,147.258,2.03235,2.45058,2.09036,0.3248,0.24769,0.20745,0.08342,2.19853,2.81555,2.31611,0.009901,0.009901,0.009901
5,173.291,1.85445,2.12287,1.88956,0.49566,0.40236,0.39463,0.18741,1.8054,2.16156,1.91774,0.009868,0.009868,0.009868
6,198.924,1.73271,1.91329,1.78424,0.58404,0.50023,0.52219,0.26827,1.6951,1.80221,1.81455,0.009835,0.009835,0.009835
7,224.776,1.67948,1.81115,1.73161,0.63362,0.515,0.55993,0.29369,1.64711,1.72914,1.74011,0.009802,0.009802,0.009802
8,250.683,1.61637,1.68919,1.65861,0.61152,0.46335,0.50302,0.27039,1.65361,1.85951,1.72419,0.009769,0.009769,0.009769
9,276.169,1.55583,1.5978,1.61873,0.69634,0.57038,0.6341,0.35925,1.52585,1.50312,1.60505,0.009736,0.009736,0.009736
10,301.571,1.53621,1.53863,1.60107,0.71259,0.59151,0.65463,0.38034,1.48502,1.43056,1.57346,0.009703,0.009703,0.009703
11,327.087,1.49259,1.49161,1.56215,0.74519,0.61002,0.68559,0.40525,1.4387,1.35964,1.53567,0.00967,0.00967,0.00967
12,352.413,1.49822,1.4332,1.5518,0.73642,0.60191,0.67775,0.39217,1.46508,1.37963,1.55695,0.009637,0.009637,0.009637
13,377.773,1.44599,1.38796,1.52547,0.73959,0.62587,0.69731,0.4265,1.38731,1.31591,1.49896,0.009604,0.009604,0.009604
14,403.357,1.4275,1.35507,1.49119,0.76163,0.61975,0.70982,0.43868,1.37196,1.25853,1.47125,0.009571,0.009571,0.009571
15,428.939,1.40648,1.30767,1.47607,0.75599,0.63797,0.71453,0.43612,1.36667,1.26053,1.4591,0.009538,0.009538,0.009538
16,454.726,1.39321,1.30736,1.48695,0.74959,0.66673,0.73145,0.45849,1.33097,1.20631,1.4408,0.009505,0.009505,0.009505
17,479.828,1.36584,1.25522,1.44841,0.76399,0.67651,0.74356,0.47267,1.3111,1.15898,1.4212,0.009472,0.009472,0.009472
18,505.283,1.37284,1.24926,1.44442,0.76712,0.68081,0.74695,0.4749,1.29925,1.14607,1.41724,0.009439,0.009439,0.009439
19,530.777,1.35003,1.22318,1.43797,0.77168,0.68044,0.75388,0.48,1.29002,1.12098,1.40332,0.009406,0.009406,0.009406
20,556.023,1.33522,1.20554,1.43437,0.78273,0.68684,0.76244,0.48953,1.28551,1.09739,1.40022,0.009373,0.009373,0.009373
21,581.334,1.32164,1.18646,1.41778,0.80734,0.68982,0.77562,0.50867,1.25339,1.06915,1.36968,0.00934,0.00934,0.00934
22,606.522,1.33034,1.15737,1.40365,0.7957,0.69676,0.77685,0.50886,1.24016,1.05483,1.3624,0.009307,0.009307,0.009307
23,632.291,1.32073,1.16691,1.3985,0.78847,0.70342,0.78009,0.51192,1.24364,1.05043,1.35699,0.009274,0.009274,0.009274
24,657.282,1.30166,1.13811,1.3867,0.80732,0.70885,0.78972,0.52314,1.22051,1.01977,1.3454,0.009241,0.009241,0.009241
25,682.383,1.29164,1.11182,1.39914,0.78244,0.71417,0.78384,0.51283,1.22796,1.04744,1.34844,0.009208,0.009208,0.009208
26,707.428,1.27833,1.10486,1.37998,0.8085,0.723,0.79541,0.52692,1.21299,0.99765,1.33497,0.009175,0.009175,0.009175
27,732.741,1.28163,1.11137,1.37508,0.80917,0.72822,0.80005,0.53585,1.19714,0.97568,1.32453,0.009142,0.009142,0.009142
28,757.755,1.25761,1.05563,1.35559,0.80592,0.72461,0.7996,0.53428,1.20207,0.98672,1.32302,0.009109,0.009109,0.009109
29,782.998,1.25714,1.06665,1.35801,0.80342,0.73088,0.80217,0.54278,1.17643,0.96913,1.30977,0.009076,0.009076,0.009076
30,807.762,1.25325,1.05582,1.35207,0.81894,0.72348,0.80535,0.54354,1.17709,0.94751,1.30557,0.009043,0.009043,0.009043
31,832.757,1.24523,1.05588,1.35001,0.80716,0.73461,0.80723,0.54698,1.17138,0.94434,1.30149,0.00901,0.00901,0.00901
32,857.856,1.25281,1.04406,1.35288,0.8153,0.74104,0.81346,0.55104,1.1747,0.92708,1.30375,0.008977,0.008977,0.008977
33,882.884,1.23088,1.02542,1.33304,0.81657,0.74141,0.81433,0.55509,1.15476,0.91677,1.29427,0.008944,0.008944,0.008944
34,907.776,1.22405,1.02495,1.33892,0.81099,0.74619,0.81645,0.55646,1.16148,0.90963,1.29425,0.008911,0.008911,0.008911
35,932.498,1.21788,1.00398,1.33701,0.82588,0.74272,0.82182,0.5609,1.15648,0.89649,1.29,0.008878,0.008878,0.008878
36,957.277,1.21779,1.00269,1.3331,0.82526,0.75545,0.82612,0.56809,1.13827,0.88432,1.27521,0.008845,0.008845,0.008845
37,982.174,1.21851,0.99988,1.33476,0.82475,0.75638,0.82667,0.57144,1.12851,0.88184,1.26869,0.008812,0.008812,0.008812
38,1007.03,1.20925,0.99215,1.32231,0.81558,0.75186,0.82254,0.56869,1.13188,0.88413,1.27261,0.008779,0.008779,0.008779
39,1031.98,1.20501,0.96721,1.31168,0.82344,0.75838,0.82784,0.57309,1.12422,0.86934,1.26697,0.008746,0.008746,0.008746
40,1056.8,1.18523,0.95287,1.3064,0.82706,0.75613,0.83025,0.57681,1.12156,0.86693,1.26341,0.008713,0.008713,0.008713
41,1082.38,1.16913,0.94721,1.29375,0.8337,0.75597,0.83219,0.57943,1.11573,0.85402,1.26089,0.00868,0.00868,0.00868
42,1107.25,1.1764,0.94532,1.30211,0.83368,0.76381,0.83568,0.5812,1.11561,0.84497,1.25478,0.008647,0.008647,0.008647
43,1132.34,1.18242,0.94379,1.30205,0.83083,0.76035,0.83381,0.58387,1.10861,0.84591,1.25237,0.008614,0.008614,0.008614
44,1157.32,1.17347,0.9319,1.29805,0.8291,0.76785,0.83761,0.58638,1.10222,0.83626,1.24669,0.008581,0.008581,0.008581
45,1182.27,1.17869,0.92953,1.28291,0.83754,0.76776,0.83946,0.589,1.09949,0.82585,1.24665,0.008548,0.008548,0.008548
46,1207.25,1.16217,0.92426,1.291,0.83572,0.76882,0.83995,0.59088,1.09261,0.8293,1.23904,0.008515,0.008515,0.008515
47,1231.99,1.14924,0.90454,1.27999,0.83251,0.77387,0.84209,0.59152,1.09624,0.81969,1.24004,0.008482,0.008482,0.008482
48,1256.76,1.161,0.90727,1.28935,0.8428,0.76775,0.84402,0.59577,1.08488,0.8107,1.23435,0.008449,0.008449,0.008449
49,1281.64,1.16008,0.90362,1.27513,0.83842,0.76901,0.843,0.59409,1.08761,0.81226,1.2347,0.008416,0.008416,0.008416
50,1306.43,1.16079,0.89072,1.2631,0.83544,0.77888,0.84573,0.59817,1.08285,0.80748,1.23161,0.008383,0.008383,0.008383
51,1331.48,1.14584,0.89063,1.27128,0.84321,0.774,0.84767,0.59983,1.07901,0.79842,1.22482,0.00835,0.00835,0.00835
52,1356.48,1.14616,0.88603,1.26234,0.83403,0.78071,0.84694,0.60075,1.0749,0.79608,1.22444,0.008317,0.008317,0.008317
53,1381.24,1.13376,0.87942,1.25727,0.84538,0.77292,0.84779,0.60104,1.07422,0.80096,1.22485,0.008284,0.008284,0.008284
54,1406.02,1.1323,0.88073,1.25515,0.83736,0.78007,0.84859,0.60443,1.07075,0.79273,1.22054,0.008251,0.008251,0.008251
55,1430.83,1.13569,0.8782,1.25385,0.84216,0.78027,0.85031,0.60655,1.06909,0.78638,1.21769,0.008218,0.008218,0.008218
56,1455.57,1.11902,0.85747,1.24434,0.84703,0.77456,0.84958,0.60494,1.06871,0.78506,1.21683,0.008185,0.008185,0.008185
57,1480.08,1.121,0.85722,1.24507,0.8443,0.7821,0.85322,0.60802,1.0659,0.77566,1.21664,0.008152,0.008152,0.008152
