epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.338,2.68415,2.37603,2.38891,0.29823,0.32587,0.21976,0.07581,2.48305,2.30609,2.20837,0.0677817,0.000996441,0.000996441
2,217.3,1.93034,1.53778,1.59419,0.67756,0.35115,0.40902,0.20627,1.87271,1.80977,1.64469,0.0354482,0.00199622,0.00199622
3,319.869,1.78238,1.33636,1.45835,0.62113,0.41188,0.43488,0.21975,1.83455,1.81244,1.59073,0.00311376,0.00299514,0.00299514
4,419.603,1.69151,1.21668,1.38405,0.77855,0.57597,0.65178,0.35155,1.50965,1.06499,1.36876,0.00299707,0.00299707,0.00299707
5,519.159,1.60421,1.10272,1.3239,0.78478,0.56851,0.64246,0.36327,1.48113,1.07483,1.34088,0.00299479,0.00299479,0.00299479
6,618.356,1.56503,1.04824,1.29603,0.83126,0.64306,0.72995,0.41788,1.35597,0.85797,1.2564,0.00299187,0.00299187,0.00299187
7,717.945,1.52933,0.99338,1.27066,0.84224,0.67047,0.75394,0.43494,1.32697,0.84112,1.23557,0.00298829,0.00298829,0.00298829
8,816.949,1.48182,0.94056,1.24458,0.85426,0.66769,0.76048,0.44613,1.30594,0.78202,1.2185,0.00298407,0.00298407,0.00298407
9,916.612,1.46056,0.91949,1.2416,0.85337,0.70388,0.77984,0.45283,1.27176,0.76882,1.19532,0.0029792,0.0029792,0.0029792
10,1017.44,1.44757,0.89372,1.2242,0.84404,0.70426,0.78148,0.45862,1.25941,0.74204,1.18878,0.0029737,0.0029737,0.0029737
11,1116.38,1.4231,0.87528,1.20958,0.86737,0.72354,0.80761,0.48619,1.21973,0.67765,1.16288,0.00296755,0.00296755,0.00296755
12,1215.25,1.41581,0.85212,1.20138,0.87095,0.72771,0.81408,0.4976,1.18494,0.6616,1.14117,0.00296076,0.00296076,0.00296076
13,1315.2,1.388,0.82851,1.18222,0.87775,0.73265,0.82016,0.49574,1.20314,0.66396,1.15211,0.00295335,0.00295335,0.00295335
14,1416.8,1.3782,0.81789,1.17939,0.87909,0.73849,0.82093,0.50824,1.1594,0.63509,1.12458,0.0029453,0.0029453,0.0029453
15,1515.84,1.37507,0.8099,1.18255,0.88707,0.75484,0.83874,0.52054,1.1394,0.6172,1.11699,0.00293662,0.00293662,0.00293662
16,1614.82,1.35676,0.79366,1.17236,0.87818,0.7551,0.83512,0.51605,1.14997,0.62735,1.11933,0.00292732,0.00292732,0.00292732
