epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.352,3.71622,4.48029,3.90511,0.03568,0.01947,0.00751,0.00197,3.48134,4.28535,3.50349,0.0701224,0.00331973,0.00331973
2,175.903,3.10811,3.60654,3.11882,0.53298,0.06354,0.06744,0.0228,2.66407,3.70979,2.7566,0.0401005,0.00663111,0.00663111
3,263.155,2.43672,2.96646,2.50392,0.22392,0.21347,0.12716,0.0486,2.30884,3.63185,2.44476,0.0100565,0.00992048,0.00992048
4,349.923,2.09751,2.52739,2.12773,0.39432,0.30973,0.27324,0.1135,1.99943,2.72244,2.08758,0.009901,0.009901,0.009901
5,436.219,1.91113,2.19852,1.93723,0.50524,0.40414,0.39957,0.17936,1.83843,2.16024,1.92565,0.009868,0.009868,0.009868
6,522.506,1.80719,2.02111,1.83344,0.52622,0.4355,0.43847,0.21615,1.76225,2.0756,1.83309,0.009835,0.009835,0.009835
7,608.669,1.74112,1.88831,1.75471,0.62173,0.49273,0.52865,0.27613,1.65081,1.80312,1.73644,0.009802,0.009802,0.009802
8,694.805,1.67414,1.77588,1.69522,0.636,0.50717,0.54531,0.2891,1.60589,1.73919,1.67926,0.009769,0.009769,0.009769
9,780.915,1.62378,1.69009,1.65788,0.62459,0.51227,0.55687,0.29767,1.61111,1.70327,1.67794,0.009736,0.009736,0.009736
10,867.085,1.58102,1.61613,1.61154,0.66847,0.53543,0.59778,0.33696,1.53741,1.59744,1.60929,0.009703,0.009703,0.009703
11,953.07,1.5542,1.5598,1.59209,0.67905,0.53694,0.60227,0.33909,1.52875,1.58723,1.59273,0.00967,0.00967,0.00967
12,1039.25,1.5227,1.5011,1.56273,0.71415,0.59887,0.65591,0.38609,1.45591,1.48118,1.53354,0.009637,0.009637,0.009637
13,1125.31,1.50436,1.46119,1.54049,0.73518,0.58946,0.66502,0.39112,1.45684,1.42326,1.52552,0.009604,0.009604,0.009604
