epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1923,3.74671,4.5258,3.96501,0.00754,0.12742,0.00799,0.0021,3.51979,3.82765,3.54924,0.0701948,0.00331169,0.00331169
2,137.938,3.24593,3.70393,3.19703,0.32161,0.09098,0.04017,0.01514,2.87117,14.9599,3.17391,0.0401729,0.00662309,0.00662309
3,188.036,2.41682,2.95933,2.48754,0.23848,0.20137,0.12679,0.04951,2.35326,3.37637,2.53242,0.0101289,0.0099125,0.0099125
4,236.191,2.03067,2.4357,2.09111,0.37169,0.29877,0.26341,0.11122,2.0325,2.62912,2.15665,0.009901,0.009901,0.009901
5,283.384,1.85893,2.11486,1.90131,0.50376,0.41468,0.40929,0.19371,1.80758,2.13342,1.89875,0.009868,0.009868,0.009868
6,329.895,1.72842,1.91104,1.78913,0.58327,0.46325,0.49301,0.24913,1.72005,1.89475,1.83032,0.009835,0.009835,0.009835
7,377.736,1.6713,1.80366,1.73189,0.62604,0.49804,0.54266,0.28499,1.6316,1.81473,1.73674,0.009802,0.009802,0.009802
8,424.405,1.60791,1.6869,1.65957,0.66613,0.55015,0.60549,0.33835,1.55046,1.58861,1.64403,0.009769,0.009769,0.009769
9,470.829,1.55495,1.58613,1.62444,0.69329,0.55555,0.61767,0.34821,1.52817,1.55321,1.62703,0.009736,0.009736,0.009736
10,517.173,1.53546,1.53122,1.60622,0.71074,0.5926,0.6538,0.37724,1.47071,1.44062,1.58348,0.009703,0.009703,0.009703
11,563.383,1.49066,1.48552,1.56915,0.73763,0.61917,0.68635,0.40583,1.4378,1.38283,1.55017,0.00967,0.00967,0.00967
12,609.402,1.49614,1.43845,1.5618,0.75497,0.61642,0.69469,0.41377,1.42729,1.33332,1.53909,0.009637,0.009637,0.009637
13,656.322,1.44961,1.38334,1.53629,0.71696,0.64018,0.69876,0.42357,1.39005,1.37814,1.50903,0.009604,0.009604,0.009604
14,702.514,1.43407,1.3594,1.50308,0.7644,0.61585,0.70619,0.43785,1.35587,1.26866,1.48141,0.009571,0.009571,0.009571
15,748.599,1.40829,1.30898,1.48609,0.76135,0.65137,0.7262,0.44642,1.35339,1.22055,1.46259,0.009538,0.009538,0.009538
