                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3154,                  4.198,                 3.6749,                0.18581,                0.17989,                0.09511,                0.02991,                 2.8845,                  3.259,                 3.1074,               0.070246,               0.003306,               0.003306
                      1,                 2.3985,                 2.5444,                 2.6025,                 0.3511,                0.32404,                0.26123,                 0.1048,                 2.2317,                 2.6999,                 2.4344,               0.040191,              0.0065846,              0.0065846
                      2,                  1.952,                 2.0349,                 2.1473,                0.43844,                0.38373,                0.35573,                0.15891,                 1.9659,                 2.7505,                 2.1944,               0.010081,              0.0098081,              0.0098081
                      3,                 1.7223,                 1.7576,                 1.8795,                0.59398,                0.42607,                0.46075,                0.23332,                 1.7659,                 2.2817,                 1.9274,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.5872,                 1.5366,                 1.7311,                0.63066,                0.50201,                 0.5399,                0.29049,                  1.673,                  1.817,                 1.8368,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4989,                 1.3792,                 1.6387,                0.65083,                0.53115,                0.58678,                0.32123,                 1.5881,                  1.621,                  1.743,                0.00967,                0.00967,                0.00967
                      6,                 1.4291,                 1.2741,                 1.5716,                  0.682,                0.52274,                 0.5967,                  0.341,                 1.5914,                 1.6405,                 1.7094,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.3784,                 1.1838,                 1.5236,                0.73737,                0.60074,                 0.6659,                0.39311,                 1.5308,                 1.3799,                 1.6559,               0.009505,               0.009505,               0.009505
                      8,                 1.3297,                 1.1025,                 1.4792,                0.74192,                0.59741,                0.67185,                0.40927,                 1.4753,                 1.3379,                 1.6133,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.2888,                 1.0391,                 1.4442,                 0.7608,                 0.6198,                0.70115,                0.42668,                 1.4722,                  1.287,                 1.5977,                0.00934,                0.00934,                0.00934
                     10,                 1.2508,                0.98584,                 1.4129,                0.76145,                0.64516,                0.72229,                0.44479,                 1.4435,                 1.2334,                 1.5868,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.2168,                0.93309,                 1.3848,                0.74193,                0.62715,                0.69902,                0.43231,                 1.4368,                 1.2644,                 1.5578,               0.009175,               0.009175,               0.009175
                     12,                 1.1835,                0.89629,                 1.3586,                0.76146,                0.63913,                0.71527,                0.44502,                 1.4207,                 1.2279,                 1.5614,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.1544,                 0.8596,                 1.3337,                0.76834,                0.64152,                0.71958,                0.44998,                 1.4305,                 1.2377,                 1.5588,                0.00901,                0.00901,                0.00901
                     14,                 1.1264,                   0.83,                 1.3128,                0.77872,                0.66283,                 0.7343,                 0.4584,                 1.4055,                 1.1365,                 1.5591,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.0985,                0.79959,                 1.2907,                0.80381,                0.66891,                0.75184,                0.47911,                 1.3714,                 1.1133,                 1.5091,               0.008845,               0.008845,               0.008845
                     16,                  1.078,                0.77573,                 1.2752,                0.77307,                 0.6777,                0.74503,                0.47599,                 1.3863,                 1.1354,                 1.5344,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.0588,                0.74823,                 1.2585,                0.78166,                 0.6709,                 0.7383,                 0.4676,                 1.3768,                 1.0907,                 1.5164,                0.00868,                0.00868,                0.00868
                     18,                 1.0371,                0.72756,                 1.2412,                0.79552,                0.68165,                0.74654,                0.47262,                 1.3787,                 1.1415,                 1.5103,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.0163,                0.70649,                 1.2262,                0.78943,                0.66059,                0.74161,                0.47726,                  1.366,                 1.1243,                 1.5169,               0.008515,               0.008515,               0.008515
                     20,                 0.9931,                0.68738,                 1.2092,                0.78213,                0.68038,                0.75153,                0.48129,                 1.3537,                  1.087,                 1.5174,              0.0084325,              0.0084325,              0.0084325
                     21,                0.97531,                0.66449,                 1.1953,                0.81043,                0.68597,                0.76393,                0.49289,                 1.3481,                 1.0623,                 1.5073,                0.00835,                0.00835,                0.00835
                     22,                0.95785,                0.64969,                 1.1824,                0.79526,                0.67992,                0.75386,                0.48737,                  1.354,                 1.0946,                 1.5247,              0.0082675,              0.0082675,              0.0082675
                     23,                0.94359,                0.63542,                 1.1722,                 0.7874,                0.69822,                0.76392,                0.49468,                 1.3456,                 1.0636,                 1.5133,               0.008185,               0.008185,               0.008185
                     24,                0.92257,                 0.6154,                 1.1569,                0.78683,                0.70683,                0.76937,                0.50219,                 1.3343,                 1.0568,                 1.5162,              0.0081025,              0.0081025,              0.0081025
                     25,                0.90643,                0.60126,                 1.1449,                0.82077,                0.67394,                0.75889,                 0.4898,                 1.3592,                 1.0896,                 1.5078,                0.00802,                0.00802,                0.00802
                     26,                0.89495,                0.58973,                  1.136,                0.81176,                0.69816,                0.77148,                0.49996,                  1.336,                 1.0274,                 1.5246,              0.0079375,              0.0079375,              0.0079375
                     27,                0.88032,                 0.5767,                 1.1258,                0.81479,                0.68979,                0.76644,                0.49629,                 1.3513,                 1.0632,                 1.5324,               0.007855,               0.007855,               0.007855
                     28,                0.86324,                 0.5683,                 1.1139,                0.80284,                0.70273,                0.77308,                0.50453,                 1.3331,                 1.0385,                 1.5208,              0.0077725,              0.0077725,              0.0077725
                     29,                0.85211,                0.55584,                  1.106,                0.80999,                0.70429,                 0.7732,                0.50102,                 1.3462,                 1.0208,                 1.5423,                0.00769,                0.00769,                0.00769
                     30,                0.83799,                0.54511,                 1.0955,                0.80687,                0.70244,                0.77508,                0.50588,                 1.3397,                 1.0049,                 1.5274,              0.0076075,              0.0076075,              0.0076075
                     31,                0.82493,                0.53475,                 1.0872,                0.82386,                0.67839,                0.76236,                0.50129,                 1.3406,                 1.0979,                 1.5218,               0.007525,               0.007525,               0.007525
                     32,                 0.8118,                 0.5231,                 1.0782,                0.81368,                0.70274,                0.77548,                0.51112,                  1.318,                 1.0283,                 1.5311,              0.0074425,              0.0074425,              0.0074425
                     33,                  0.801,                0.51581,                 1.0712,                0.82449,                0.68915,                  0.771,                0.50965,                 1.3244,                 1.0571,                 1.5245,                0.00736,                0.00736,                0.00736
                     34,                0.78902,                0.50456,                 1.0629,                0.80808,                0.69068,                0.76724,                 0.5053,                 1.3319,                 1.0927,                 1.5377,              0.0072775,              0.0072775,              0.0072775
                     35,                0.77813,                0.49575,                  1.055,                0.80104,                0.71469,                0.77519,                0.51102,                 1.3147,                 1.0118,                 1.5353,               0.007195,               0.007195,               0.007195
                     36,                0.76707,                0.48881,                 1.0469,                0.79665,                0.71884,                0.77493,                0.51138,                 1.3158,                 1.0121,                 1.5303,              0.0071125,              0.0071125,              0.0071125
                     37,                0.75795,                0.48199,                 1.0413,                0.81865,                0.71239,                0.78018,                0.51711,                 1.3107,                 1.0156,                 1.5249,                0.00703,                0.00703,                0.00703
                     38,                0.75088,                0.47517,                 1.0378,                0.81051,                 0.7232,                0.78153,                0.51791,                 1.3061,                0.99631,                 1.5263,              0.0069475,              0.0069475,              0.0069475
                     39,                0.73584,                0.46394,                 1.0289,                0.81197,                0.71126,                0.77235,                0.51106,                 1.3118,                  1.004,                 1.5429,               0.006865,               0.006865,               0.006865
                     40,                0.72546,                0.45931,                 1.0202,                0.82027,                0.71133,                0.78081,                0.51777,                 1.3033,                 1.0126,                 1.5406,              0.0067825,              0.0067825,              0.0067825
