                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0859,                 3.8636,                 4.0418,                0.00401,                0.32906,                0.00329,                0.00105,                 3.9098,                 3.4561,                 3.8549,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.3608,                 2.5983,                 3.7151,                0.00068,                0.00855,                0.00035,                  3e-05,                 3.7494,                 3.9264,                  3.754,               0.073876,              0.0028761,              0.0028761
                      2,                 3.0224,                 2.0956,                 3.3625,                0.00036,                0.00427,                 0.0002,                  2e-05,                 3.7343,                  4.129,                 3.7397,               0.060327,              0.0043274,              0.0043274
                      3,                 2.6882,                 1.9753,                 3.0694,                0.00105,                0.01282,                0.00053,                0.00011,                  3.721,                    4.3,                 3.7405,               0.046754,               0.005754,               0.005754
                      4,                 2.4698,                 1.9554,                 2.8637,                0.00039,                0.00427,                0.00019,                  2e-05,                 3.6835,                 4.3536,                 3.7008,               0.033156,              0.0071558,              0.0071558
                      5,                 2.3288,                 1.8266,                 2.6988,                0.03473,                0.69658,                0.12311,                0.03637,                 3.0382,                 3.3415,                  3.189,               0.019533,              0.0085329,              0.0085329
                      6,                 2.2098,                 1.8931,                  2.598,                  0.174,                0.57692,                0.22925,                0.07838,                  2.377,                 2.4574,                 2.6763,               0.009505,               0.009505,               0.009505
                      7,                 2.0661,                 2.1731,                 2.4515,                  0.467,                0.43162,                0.40054,                0.16438,                 2.3173,                 1.8337,                 2.5924,               0.009505,               0.009505,               0.009505
                      8,                 1.9355,                  1.753,                 2.3185,                0.47305,                0.51282,                0.47919,                0.19343,                  2.267,                 3.0939,                  2.612,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.8941,                 1.4307,                 2.2599,                0.56536,                0.58368,                0.56773,                 0.2361,                  2.261,                 1.6583,                 2.5763,                0.00934,                0.00934,                0.00934
                     10,                 1.7101,                 1.3561,                 2.1155,                0.71328,                0.62393,                0.69784,                0.28382,                 2.2138,                 1.4268,                 2.5032,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.6415,                 1.1446,                 2.0507,                0.74242,                0.71442,                0.77915,                0.31864,                 2.0491,                  1.578,                 2.4401,               0.009175,               0.009175,               0.009175
                     12,                 1.5772,                 1.0395,                 1.9772,                 0.8383,                 0.7533,                0.81751,                0.37362,                 1.9677,                 1.2068,                 2.3418,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.5104,                   1.03,                 1.9149,                0.88845,                0.78282,                0.87348,                0.43531,                 1.8604,                 1.0719,                 2.3045,                0.00901,                0.00901,                0.00901
                     14,                 1.3967,                0.92607,                 1.7995,                0.86774,                0.78205,                0.87082,                0.46324,                 1.6909,                 1.0769,                 2.0969,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.3251,                0.86896,                 1.7259,                0.87228,                0.81723,                0.90361,                0.50003,                 1.6304,                0.97904,                 2.0209,               0.008845,               0.008845,               0.008845
                     16,                 1.2955,                0.82952,                 1.6891,                0.89194,                0.81128,                0.89417,                0.47067,                 1.7188,                 1.0714,                 2.1064,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.2403,                0.79223,                 1.6402,                0.93131,                0.81123,                0.90527,                0.50628,                  1.605,                 1.0099,                 1.9731,                0.00868,                0.00868,                0.00868
                     18,                 1.2052,                0.75617,                 1.5887,                0.93681,                0.79915,                0.92002,                0.50469,                 1.6094,                0.95794,                 1.9763,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.1571,                0.74545,                 1.5591,                  0.956,                0.85043,                0.93635,                0.53695,                 1.5231,                0.87689,                 1.9294,               0.008515,               0.008515,               0.008515
                     20,                 1.1085,                0.71218,                 1.4967,                 0.9129,                0.85043,                0.92013,                0.50897,                 1.6525,                0.93267,                 2.0635,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.0643,                0.69439,                 1.4722,                0.94255,                0.84131,                0.90828,                0.53856,                 1.5964,                0.89762,                 1.9792,                0.00835,                0.00835,                0.00835
                     22,                 1.0575,                0.68276,                 1.4524,                0.93893,                0.84188,                0.92093,                0.54508,                 1.5283,                0.90089,                  1.951,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.0258,                0.64567,                 1.4164,                0.89017,                0.86325,                0.90666,                0.54988,                   1.48,                0.88979,                 1.8705,               0.008185,               0.008185,               0.008185
                     24,                  0.969,                0.63116,                 1.3687,                0.92285,                 0.8179,                0.91516,                0.56859,                 1.4456,                0.83179,                 1.8241,              0.0081025,              0.0081025,              0.0081025
                     25,                 0.9603,                0.62482,                 1.3518,                0.95389,                0.79575,                0.90841,                0.54712,                 1.4465,                0.88479,                 1.8607,                0.00802,                0.00802,                0.00802
                     26,                 0.9214,                 0.6043,                 1.3278,                0.93799,                0.84035,                0.93636,                0.57086,                 1.4047,                0.80378,                 1.8313,              0.0079375,              0.0079375,              0.0079375
                     27,                0.90785,                0.59026,                 1.3135,                0.91886,                0.87114,                0.93912,                0.59054,                 1.3813,                0.79021,                 1.8052,               0.007855,               0.007855,               0.007855
